entity,n-revs,bugs,added,removed
_sass/animate/_fade-in-down.scss,1,0,10,0
_sass/animate/_fade-in-up.scss,1,0,10,0
_sass/animate/_fade-in.scss,1,0,8,0
_sass/common/_classes.scss,1,0,23,0
_sass/common/_function.scss,1,0,15,0
_sass/common/_print.scss,1,0,20,0
_sass/common/_reset.scss,1,0,160,0
_sass/common/_variables.scss,1,0,150,0
_sass/common/classes/_animation.scss,1,0,13,0
_sass/common/classes/_clearfix.scss,1,0,19,0
_sass/common/classes/_clickable.scss,1,0,159,0
_sass/common/classes/_display.scss,1,0,14,0
_sass/common/classes/_flex.scss,1,0,394,0
_sass/common/classes/_grid.scss,1,0,80,0
_sass/common/classes/_horizontal-rules.scss,1,0,14,0
_sass/common/classes/_link.scss,1,0,12,0
_sass/common/classes/_media.scss,1,0,17,0
_sass/common/classes/_overflow.scss,1,0,26,0
_sass/common/classes/_pseudo.scss,1,0,33,0
_sass/common/classes/_shadow.scss,1,0,22,0
_sass/common/classes/_spacing.scss,1,0,81,0
_sass/common/classes/_split-line.scss,1,0,24,0
_sass/common/classes/_text.scss,1,0,37,0
_sass/common/classes/_transform.scss,1,0,4,0
_sass/common/classes/_transition.scss,1,0,4,0
_sass/common/classes/_user-select.scss,1,0,6,0
_sass/common/components/_button.scss,1,0,163,0
_sass/common/components/_card.scss,1,0,103,0
_sass/common/components/_gallery.scss,1,0,21,0
_sass/common/components/_hero.scss,1,0,70,0
_sass/common/components/_image.scss,1,0,19,0
_sass/common/components/_item.scss,1,0,100,0
_sass/common/components/_menu.scss,1,0,67,0
_sass/common/components/_modal.scss,1,0,39,0
_sass/common/components/_swiper.scss,1,0,48,0
_sass/common/components/_toc.scss,1,0,112,0
_sass/components/_article-content.scss,1,0,221,0
_sass/components/_article-footer.scss,1,0,17,0
_sass/components/_article-header.scss,1,0,50,0
_sass/components/_article-info.scss,1,0,25,0
_sass/components/_article-list.scss,1,0,18,0
_sass/components/_author-links.scss,1,0,43,0
_sass/components/_author-profile.scss,1,0,26,0
_sass/components/_extensions.scss,1,0,35,0
_sass/components/_footer.scss,1,0,33,0
_sass/components/_header.scss,1,0,120,0
_sass/components/_lightbox.scss,1,0,7,0
_sass/components/_main.scss,1,0,28,0
_sass/components/_search.scss,1,0,186,0
_sass/components/_tags.scss,1,0,24,0
_sass/custom.scss,1,0,7,0
_sass/layout/_404.scss,1,0,14,0
_sass/layout/_archive.scss,1,0,5,0
_sass/layout/_article.scss,1,0,29,0
_sass/layout/_articles.scss,1,0,17,0
_sass/layout/_base.scss,1,0,6,0
_sass/layout/_home.scss,1,0,15,0
_sass/layout/_landing.scss,1,0,23,0
_sass/layout/_page.scss,1,0,165,0
_sass/skins/_chocolate.scss,1,0,74,0
_sass/skins/_dark.scss,1,0,74,0
_sass/skins/_default.scss,1,0,74,0
_sass/skins/_forest.scss,1,0,74,0
_sass/skins/_ocean.scss,1,0,74,0
_sass/skins/_orange.scss,1,0,74,0
_sass/skins/highlight/_default.scss,1,0,0,0
_sass/skins/highlight/_tomorrow-night-blue.scss,1,0,2,0
_sass/skins/highlight/_tomorrow-night-bright.scss,1,0,2,0
_sass/skins/highlight/_tomorrow-night-eighties.scss,1,0,2,0
_sass/skins/highlight/_tomorrow-night.scss,1,0,2,0
_sass/skins/highlight/_tomorrow.scss,1,0,2,0
_sass/skins/highlight/tomorrow/_default.scss,1,0,10,0
_sass/skins/highlight/tomorrow/_highlight.scss,1,0,74,0
_sass/skins/highlight/tomorrow/_night-blue.scss,1,0,10,0
_sass/skins/highlight/tomorrow/_night-bright.scss,1,0,10,0
_sass/skins/highlight/tomorrow/_night-eighties.scss,1,0,10,0
_sass/skins/highlight/tomorrow/_night.scss,1,0,10,0
ad-insertion.md,7,0,164,48
assets/.DS_Store,1,0,0,0
assets/android-chrome-192x192.png,1,0,0,0
assets/android-chrome-256x256.png,1,0,0,0
assets/android-chrome-96x96.png,1,0,0,0
assets/apple-touch-icon.png,1,0,0,0
assets/browserconfig.xml,1,0,9,0
assets/css/main.scss,1,0,76,0
assets/favicon-16x16.png,1,0,0,0
assets/favicon-32x32.png,1,0,0,0
assets/favicon.ico,1,0,0,0
assets/images/logo/logo.svg,1,0,8,0
assets/mstile-150x150.png,1,0,0,0
assets/safari-pinned-tab.svg,1,0,23,0
assets/search.js,1,0,3,0
assets/site.webmanifest,1,0,19,0
audio-app/build.gradle,1,0,3,3
audio-app/src/main/AndroidManifest.xml,1,0,1,0
audio-app/src/main/java/com/google/android/exoplayer/audiodemo/Samples.java,1,0,3,3
battery-consumption.md,1,0,12,13
behind-live-window.md,1,0,35,0
build.gradle,12,0,14,28
cast_receiver_app/BUILD,2,0,310,310
cast_receiver_app/README.md,2,0,72,72
cast_receiver_app/WORKSPACE,2,0,38,38
cast_receiver_app/app-desktop/html/index.css,2,0,156,156
cast_receiver_app/app-desktop/html/index.html,2,0,55,55
cast_receiver_app/app-desktop/src/main.js,2,0,170,170
cast_receiver_app/app-desktop/src/player_controls.js,2,0,164,164
cast_receiver_app/app-desktop/src/samples.js,2,0,70,70
cast_receiver_app/app-desktop/src/samples_internal.js,2,0,79,79
cast_receiver_app/app/html/index.css,2,0,39,39
cast_receiver_app/app/html/index.html,2,0,40,40
cast_receiver_app/app/html/playback_info_view.css,2,0,59,59
cast_receiver_app/app/src/main.js,2,0,55,55
cast_receiver_app/app/src/message_dispatcher.js,2,0,234,234
cast_receiver_app/app/src/receiver.js,2,0,191,191
cast_receiver_app/app/src/validation.js,2,0,163,163
cast_receiver_app/assemble.bazel.sh,2,0,93,93
cast_receiver_app/externs/protocol.js,2,0,489,489
cast_receiver_app/externs/shaka.js,2,0,68,68
cast_receiver_app/src/configuration_factory.js,2,0,90,90
cast_receiver_app/src/constants.js,2,0,140,140
cast_receiver_app/src/playback_info_view.js,2,0,233,233
cast_receiver_app/src/player.js,2,0,1522,1522
cast_receiver_app/src/timeout.js,2,0,68,68
cast_receiver_app/src/util.js,2,0,62,62
cast_receiver_app/test/caf_bootstrap.js,2,0,33,33
cast_receiver_app/test/configuration_factory_test.js,2,0,86,86
cast_receiver_app/test/externs.js,2,0,36,36
cast_receiver_app/test/message_dispatcher_test.js,2,0,49,49
cast_receiver_app/test/mocks.js,2,0,277,277
cast_receiver_app/test/playback_info_view_test.js,2,0,242,242
cast_receiver_app/test/player_test.js,2,0,470,470
cast_receiver_app/test/queue_test.js,2,0,166,166
cast_receiver_app/test/receiver_test.js,2,0,1027,1027
cast_receiver_app/test/shaka_error_handling_test.js,2,0,84,84
cast_receiver_app/test/util.js,2,0,87,87
cast_receiver_app/test/validation_test.js,2,0,266,266
code/player-accessed-on-wrong-thread.md,4,0,6,6
constants.gradle,56,0,90,80
core_settings.gradle,6,0,12,2
css/default.css,1,0,0,47
css/github-markdown.css,1,0,0,21
css/pure-min.css,1,0,0,6
css/side-menu.css,1,0,0,19
css/syntax.css,1,0,0,60
customization.md,1,0,92,0
dash.md,3,0,193,27
debugging-playback-issues.md,1,0,106,0
demo-application.md,3,0,111,69
demos/cast/build.gradle,7,0,5,28
demos/cast/src/main/AndroidManifest.xml,2,0,2,2
demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/DefaultReceiverPlayerManager.java,5,0,45,456
demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/DemoUtil.java,6,0,121,128
demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/ExoCastPlayerManager.java,2,0,421,421
demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java,9,0,77,84
demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/PlayerManager.java,14,0,580,294
demos/cast/src/main/res/layout/main_activity.xml,2,0,2,2
demos/cast/src/main/res/values/strings.xml,2,0,4,2
demos/gl/README.md,2,0,22,0
demos/gl/build.gradle,2,0,106,0
demos/gl/src/main/AndroidManifest.xml,4,0,100,0
demos/gl/src/main/assets/bitmap_overlay_video_processor_fragment.glsl,2,0,70,0
demos/gl/src/main/assets/bitmap_overlay_video_processor_vertex.glsl,2,0,42,0
demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/BitmapOverlayVideoProcessor.java,2,0,352,0
demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/MainActivity.java,3,0,398,2
demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/VideoProcessingGLSurfaceView.java,4,0,583,1
demos/gl/src/main/res/layout/main_activity.xml,2,0,60,0
demos/gl/src/main/res/mipmap-hdpi/ic_launcher.png,2,0,0,0
demos/gl/src/main/res/mipmap-mdpi/ic_launcher.png,2,0,0,0
demos/gl/src/main/res/mipmap-xhdpi/ic_launcher.png,2,0,0,0
demos/gl/src/main/res/mipmap-xxhdpi/ic_launcher.png,2,0,0,0
demos/gl/src/main/res/mipmap-xxxhdpi/ic_launcher.png,2,0,0,0
demos/gl/src/main/res/values/strings.xml,2,0,44,0
demos/gvr/README.md,2,0,4,4
demos/gvr/build.gradle,4,0,61,61
demos/gvr/src/main/AndroidManifest.xml,4,0,76,76
demos/gvr/src/main/java/com/google/android/exoplayer2/gvrdemo/PlayerActivity.java,7,0,269,269
demos/gvr/src/main/java/com/google/android/exoplayer2/gvrdemo/SampleChooserActivity.java,3,0,133,133
