"FileName","TargetIssueFreq"
"geode.src.test.java.org.apache.calcite.adapter.geode.rel.GeodeZipsTest_java","1"
"core.src.test.java.org.apache.calcite.test.JdbcTest_java","1"
"spark.src.test.java.org.apache.calcite.test.SparkAdapterTest_java","1"
"pig.src.main.java.org.apache.calcite.adapter.pig.PigTableScan_java","1"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableHashJoin_java","1"
"core.src.main.java.org.apache.calcite.rel.metadata.JaninoRelMetadataProvider_java","1"
"core.src.main.java.org.apache.calcite.rel.rules.PushProjector_java","1"
"core.src.main.java.org.apache.calcite.plan.RelCompositeTrait_java","1"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableMergeJoin_java","1"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchSort_java","1"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdCollation_java","1"
"core.src.main.java.org.apache.calcite.rel.rules.ProjectJoinTransposeRule_java","1"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableCorrelate_java","1"
"core.src.test.resources.sql.sub-query_iq","1"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdColumnUniqueness_java","1"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdPredicates_java","1"
"core.src.test.java.org.apache.calcite.test.JdbcFrontJdbcBackLinqMiddleTest_java","1"
"core.src.main.java.org.apache.calcite.tools.RelBuilder_java","1"
"core.src.test.java.org.apache.calcite.test.MultiJdbcSchemaJoinTest_java","1"
"core.src.main.java.org.apache.calcite.rel.rules.AbstractMaterializedViewRule_java","1"
"core.src.test.java.org.apache.calcite.test.StreamTest_java","1"
"core.src.test.java.org.apache.calcite.test.enumerable.EnumerableCorrelateTest_java","1"
"core.src.main.java.org.apache.calcite.sql.SemiJoinType_java","1"
