Index,Size
ModularityViolation1,12
ModularityViolation2,9
ModularityViolation3,8
ModularityViolation4,5
ModularityViolation5,5
ModularityViolation6,4
ModularityViolation7,3
ModularityViolation8,3
ModularityViolation9,2
ModularityViolation10,2

