IssueId,IssueKee,IssueType,RuleId,Severity,Message,FileName
113218,AXI_QjpISfYPAADgXGea,CodeSmell,1509,MAJOR,"Constructor has 9 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/SegmentBase.java
113219,AXI_QjpISfYPAADgXGeb,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/SegmentBase.java
113220,AXI_QjpISfYPAADgXGec,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/SegmentBase.java
113221,AXI_QjpISfYPAADgXGed,CodeSmell,1867,MAJOR,"Rename ""duration"" which hides the field declared at line 118.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/SegmentBase.java
113222,AXI_Qj5zSfYPAADgXGee,CodeSmell,1611,MINOR,"The type of the ""drmSchemeDatas"" object should be an interface such as ""List"" rather than the implementation ""ArrayList"".",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113223,AXI_Qj5zSfYPAADgXGef,CodeSmell,1611,MINOR,"The type of the ""inbandEventStreams"" object should be an interface such as ""List"" rather than the implementation ""ArrayList"".",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113224,AXI_Qj5zSfYPAADgXGeg,CodeSmell,1611,MINOR,"The type of the ""drmSchemeDatas"" object should be an interface such as ""List"" rather than the implementation ""ArrayList"".",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113225,AXI_Qj5zSfYPAADgXGeh,CodeSmell,1611,MINOR,"The type of the ""inbandEventStreams"" object should be an interface such as ""List"" rather than the implementation ""ArrayList"".",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113226,AXI_Qj5zSfYPAADgXGei,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""SupplementalProperty"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113227,AXI_Qj5zSfYPAADgXGej,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""value"" 6 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113228,AXI_Qj5zSfYPAADgXGek,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""BaseURL"" 5 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113229,AXI_Qj5zSfYPAADgXGel,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""SegmentList"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113230,AXI_Qj5zSfYPAADgXGem,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""InbandEventStream"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113231,AXI_Qj5zSfYPAADgXGen,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""Initialization"" 3 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113232,AXI_Qj5zSfYPAADgXGeo,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""duration"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113233,AXI_Qj5zSfYPAADgXGep,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""urn:mpeg:dash:role:2011"" 3 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113234,AXI_Qj5zSfYPAADgXGeq,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""SegmentBase"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113235,AXI_Qj5zSfYPAADgXGer,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""SegmentTimeline"" 3 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113273,AXI_QkBtSfYPAADgXGfR,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113236,AXI_Qj5zSfYPAADgXGes,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""schemeIdUri"" 5 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
