Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTDmlUpdateStatement_java,8,2,3,2,8,3,11,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTDmlUpsertStatement_java,8,2,3,2,8,3,11,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTDoLoopStatement_java,8,2,3,2,11,3,14,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTElseWhenBlock_java,8,2,2,2,4,2,6,0,0,0,23,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTEmptyReferenceExpression_java,8,2,2,2,4,2,6,0,0,0,24,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTExpressionStatement_java,26,6,4,2,4,6,10,91,0,0,18,5,0,0,0,1,0,3,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTExpression_java,8,2,3,2,4,3,7,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTFieldDeclarationStatements_java,49,16,4,2,6,8,14,90,0,0,52,4,0,0,0,1,0,1,2,0,3,3,3,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTFieldDeclaration_java,21,6,3,2,12,5,17,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTField_java,36,12,3,2,16,8,24,89,0,0,12,3,0,0,0,1,0,1,1,0,3,3,3,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTForEachStatement_java,8,2,3,2,11,3,14,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTForLoopStatement_java,8,2,3,2,11,3,14,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTFormalComment_java,56,17,4,2,5,3,8,92,0,1,85,4,0,0,0,1,0,1,2,0,3,7,7,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTIdentifierCase_java,8,2,2,2,4,2,6,0,0,0,23,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTIfBlockStatement_java,8,2,3,2,8,3,11,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTIfElseBlockStatement_java,11,3,4,2,7,3,10,90,0,0,18,4,0,0,0,1,0,1,2,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTIllegalStoreExpression_java,8,2,3,2,4,3,7,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTInstanceOfExpression_java,8,2,3,2,4,3,7,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
