Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
core.src.main.java.hudson.Lookup_java,22,4,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
core.src.main.java.hudson.Main_java,151,21,3,2,6,7,13,0,0,0,8,7,1,0,0,0,6,0,0,0,2,22,14,0,6,2
core.src.main.java.hudson.MarkupText_java,356,70,0,3,14,2,16,0,0,0,0,5,1,0,0,0,3,1,0,0,3,5,5,0,0,0
core.src.main.java.hudson.PermalinkList_java,30,8,0,0,4,2,6,0,0,0,0,5,1,0,0,0,4,0,0,0,2,0,0,0,0,0
core.src.main.java.hudson.Platform_java,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
core.src.main.java.hudson.PluginFirstClassLoader_java,38,9,1,0,2,2,4,0,0,0,2,4,1,0,0,0,2,1,0,0,3,5,5,0,0,0
core.src.main.java.hudson.PluginManagerStaplerOverride_java,14,1,1,3,2,2,4,0,0,0,4,2,1,0,0,0,1,0,0,0,2,2,2,0,0,0
core.src.main.java.hudson.PluginManager_java,1875,365,30,5,14,52,66,22,8,0,486,53,1,8,1,9,13,4,18,0,6,80,67,5,6,2
core.src.main.java.hudson.PluginStrategy_java,41,6,1,2,3,3,6,0,0,0,4,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0
core.src.main.java.hudson.PluginWrapper_java,1004,191,16,3,21,16,37,6,2,0,254,45,1,6,1,9,10,1,18,0,6,29,27,0,1,1
core.src.main.java.hudson.Plugin_java,130,17,2,4,6,12,18,0,0,0,21,8,1,0,0,0,6,1,0,0,3,8,7,0,1,0
