File Name,Refactoring Operations
pmd-core/src/main/java/net/sourceforge/pmd/benchmark/Benchmarker.java,4
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTUserClass.java,4
pmd-vm/src/main/java/net/sourceforge/pmd/lang/vm/ast/VmParserVisitorAdapter.java,3
pmd-scala/src/test/java/net/sourceforge/pmd/lang/scala/ast/ScalaParsingHelper.java,3
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/rule/ScalaRuleChainVisitor.java,3
pmd-plsql/src/test/java/net/sourceforge/pmd/lang/plsql/PLSQLXPathRuleTest.java,3
pmd-jsp/src/main/java/net/sourceforge/pmd/lang/jsp/ast/JspParserVisitorAdapter.java,3
pmd-javascript/src/test/java/net/sourceforge/pmd/lang/ecmascript/ast/TrailingCommaTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/symboltable/GlobalScopeTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/SimpleNodeTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/Java12Test.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/AccessNodeTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTSwitchLabelTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTPrimarySuffixTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTImportDeclarationTest.java,3
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTBooleanLiteralTest.java,3
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/design/UseUtilityClassRule.java,3
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTFormalParameters.java,3
pmd-core/src/test/java/net/sourceforge/pmd/processor/MultiThreadProcessorTest.java,3
pmd-core/src/main/java/net/sourceforge/pmd/util/designerbindings/DesignerBindings.java,3
pmd-core/src/main/java/net/sourceforge/pmd/renderers/HTMLRenderer.java,3
pmd-core/src/main/java/net/sourceforge/pmd/lang/ast/AbstractNode.java,3
pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/ast/ASTUserClassTest.java,3
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/security/ApexXSSFromURLParamRule.java,3
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/security/ApexInsecureEndpointRule.java,3
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/codestyle/AbstractRegexNamingConventionsRule.java,3
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTUserTrigger.java,3
pmd-visualforce/src/test/java/net/sourceforge/pmd/lang/vf/VfParserTest.java,2
pmd-scala/src/test/java/net/sourceforge/pmd/scala/rule/ScalaRuleTest.java,2
pmd-plsql/src/test/java/net/sourceforge/pmd/lang/plsql/PLSQLParserTest.java,2
pmd-modelica/src/test/java/net/sourceforge/pmd/lang/modelica/resolver/ModelicaResolverTest.java,2
pmd-modelica/src/main/java/net/sourceforge/pmd/lang/modelica/ast/AbstractModelicaRule.java,2
pmd-java/src/test/resources/net/sourceforge/pmd/ast/ParserCornerCases18.java,2
pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/FieldDeclTest.java,2
pmd-java/src/test/java/net/sourceforge/pmd/RuleSetFactoryTest.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/typeresolution/ClassTypeResolver.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/multithreading/UnsynchronizedStaticFormatterRule.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/documentation/AbstractCommentRule.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/bestpractices/AbstractSunSecureRule.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/metrics/impl/visitors/AtfdBaseVisitor.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/metrics/impl/internal/ClassFanOutVisitor.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/metrics/impl/internal/CfoVisitor.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTVariableDeclaratorId.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTMethodDeclaration.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTMemberValuePairs.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTDoStatement.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTConstructorDeclaration.java,2
pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTAssertStatement.java,2
pmd-doc/src/test/java/net/sourceforge/pmd/docs/RuleSetResolverTest.java,2
pmd-doc/src/test/java/net/sourceforge/pmd/docs/RuleDocGeneratorTest.java,2
pmd-doc/src/main/java/net/sourceforge/pmd/docs/RuleDocGenerator.java,2
pmd-doc/src/main/java/net/sourceforge/pmd/docs/GenerateRuleDocsCmd.java,2
pmd-cs/src/main/java/net/sourceforge/pmd/cpd/CsTokenizer.java,2
pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/xpath/SaxonXPathRuleQueryTest.java,2
pmd-core/src/test/java/net/sourceforge/pmd/lang/ast/xpath/AttributeAxisIteratorTest.java,2
pmd-core/src/test/java/net/sourceforge/pmd/RuleSetWriterTest.java,2
pmd-core/src/test/java/net/sourceforge/pmd/RuleSetTest.java,2
pmd-core/src/test/java/net/sourceforge/pmd/RuleSetFactoryDuplicatedRuleLoggingTest.java,2
pmd-core/src/main/java/net/sourceforge/pmd/util/treeexport/TextTreeRenderer.java,2
pmd-core/src/main/java/net/sourceforge/pmd/rules/RuleBuilder.java,2
pmd-core/src/main/java/net/sourceforge/pmd/lang/ast/xpath/saxon/DocumentNode.java,2
pmd-core/src/main/java/net/sourceforge/pmd/lang/ast/xpath/saxon/AbstractNodeInfo.java,2
pmd-core/src/main/java/net/sourceforge/pmd/lang/ast/xpath/Attribute.java,2
pmd-core/src/main/java/net/sourceforge/pmd/cpd/token/AntlrToken.java,2
pmd-core/src/main/java/net/sourceforge/pmd/cpd/Tokens.java,2
pmd-core/src/main/java/net/sourceforge/pmd/ant/internal/PMDTaskImpl.java,2
pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/ast/ASTUserTriggerTest.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/security/ApexSuggestUsingNamedCredRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/security/ApexSOQLInjectionRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/errorprone/ApexCSRFRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/documentation/ApexDocRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/design/TooManyFieldsRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/design/AbstractNcssCountRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/codestyle/PropertyRegexNamingConventionsRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/codestyle/LocalVariableRegexNamingConventionsRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/codestyle/FormalParameterRegexNamingConventionsRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/codestyle/FieldRegexNamingConventionsRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/bestpractices/UnusedLocalVariableRule.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/metrics/impl/visitors/CognitiveComplexityVisitor.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTUserInterface.java,2
pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTUserEnum.java,2
pmd-vm/src/main/java/net/sourceforge/pmd/lang/vm/ast/VmNode.java,1
pmd-vm/src/main/java/net/sourceforge/pmd/lang/vm/ast/AbstractVmNode.java,1
pmd-visualforce/src/test/java/net/sourceforge/pmd/lang/vf/ast/VfParserTest.java,1
pmd-visualforce/src/main/java/net/sourceforge/pmd/lang/vf/ast/VfParserVisitorAdapter.java,1
pmd-visualforce/src/main/java/net/sourceforge/pmd/lang/vf/ast/VfNode.java,1
pmd-visualforce/src/main/java/net/sourceforge/pmd/lang/vf/ast/AbstractVFNode.java,1
pmd-visualforce/src/main/java/net/sourceforge/pmd/lang/vf/ast/ASTDoctypeExternalId.java,1
pmd-scala/src/test/java/net/sourceforge/pmd/scala/rule/XPathRuleTest.java,1
pmd-scala/src/main/java/org/sonar/plugins/scala/language/CommentType.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/AbstractScalaNode.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeWith.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeVar.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeTuple.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeSingleton.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeSelect.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeRepeated.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeRefine.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeProject.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypePlaceholder.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeParam.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeOr.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeName.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeMethod.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeLambda.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeImplicitFunction.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeFunction.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeExistential.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeByName.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeBounds.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeApplyInfix.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeApply.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeAnnotate.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTypeAnd.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermXml.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermWhile.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermTuple.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermTryWithHandler.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermTry.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermThrow.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermThis.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermSuper.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermSelect.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermReturn.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermRepeated.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermPlaceholder.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermPartialFunction.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermParam.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermNewAnonymous.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermNew.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermName.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermMatch.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermInterpolate.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermIf.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermFunction.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermForYield.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermFor.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermEta.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermDo.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermBlock.java,1
pmd-scala/src/main/java/net/sourceforge/pmd/lang/scala/ast/nodes/ASTTermAssign.java,1
