entity,coupled,cochanges
src/org/jgroups/AnycastAddress.java,tests/other/org/jgroups/tests/TestToaOrder.java,3
src/org/jgroups/Channel.java,src/org/jgroups/JChannel.java,3
src/org/jgroups/Event.java,src/org/jgroups/protocols/pbcast/ClientGmsImpl.java,4
src/org/jgroups/Event.java,src/org/jgroups/protocols/pbcast/NAKACK2.java,3
src/org/jgroups/Global.java,src/org/jgroups/blocks/TCPConnectionMap.java,4
src/org/jgroups/Global.java,src/org/jgroups/protocols/TCP.java,4
src/org/jgroups/JChannel.java,src/org/jgroups/protocols/TP.java,5
src/org/jgroups/JChannel.java,src/org/jgroups/protocols/relay/RELAY2.java,4
src/org/jgroups/JChannel.java,src/org/jgroups/protocols/relay/Relayer.java,3
src/org/jgroups/JChannel.java,src/org/jgroups/protocols/relay/config/RelayConfig.java,3
src/org/jgroups/JChannel.java,tests/junit-functional/org/jgroups/tests/Relay2Test.java,3
src/org/jgroups/Message.java,src/org/jgroups/protocols/FD_ALL.java,3
src/org/jgroups/Message.java,src/org/jgroups/protocols/TP.java,3
src/org/jgroups/Message.java,src/org/jgroups/protocols/relay/RELAY2.java,4
src/org/jgroups/Message.java,src/org/jgroups/protocols/relay/Relayer.java,3
src/org/jgroups/Message.java,src/org/jgroups/stack/Protocol.java,5
src/org/jgroups/Message.java,src/org/jgroups/util/Util.java,5
src/org/jgroups/Version.java,src/org/jgroups/blocks/RequestCorrelator.java,3
src/org/jgroups/blocks/AbstractConnectionMap.java,src/org/jgroups/blocks/TCPConnectionMap.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/blocks/ConnectionTableNIO.java,4
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/blocks/TCPConnectionMap.java,7
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/protocols/BPING.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/protocols/FD_SOCK.java,4
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/protocols/MPING.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/protocols/TCP.java,5
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/protocols/TP.java,5
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/protocols/UDP.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/stack/GossipRouter.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,src/org/jgroups/util/Util.java,5
src/org/jgroups/blocks/BasicConnectionTable.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,5
src/org/jgroups/blocks/BasicConnectionTable.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,5
src/org/jgroups/blocks/BasicConnectionTable.java,tests/junit-functional/org/jgroups/tests/LargeMergeTest.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,tests/junit-functional/org/jgroups/tests/MergeTest2.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,tests/junit-functional/org/jgroups/tests/MergeTest3.java,3
src/org/jgroups/blocks/BasicConnectionTable.java,tests/junit-functional/org/jgroups/tests/RSVPTest.java,3
src/org/jgroups/blocks/ConnectionTableNIO.java,src/org/jgroups/blocks/TCPConnectionMap.java,4
src/org/jgroups/blocks/ConnectionTableNIO.java,src/org/jgroups/protocols/FD_SOCK.java,4
src/org/jgroups/blocks/ConnectionTableNIO.java,src/org/jgroups/protocols/TCP.java,4
src/org/jgroups/blocks/ConnectionTableNIO.java,src/org/jgroups/protocols/TP.java,4
src/org/jgroups/blocks/ConnectionTableNIO.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,4
src/org/jgroups/blocks/ConnectionTableNIO.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,4
src/org/jgroups/blocks/GroupRequest.java,src/org/jgroups/blocks/MessageDispatcher.java,3
src/org/jgroups/blocks/GroupRequest.java,src/org/jgroups/blocks/Request.java,3
src/org/jgroups/blocks/GroupRequest.java,src/org/jgroups/blocks/RequestCorrelator.java,5
src/org/jgroups/blocks/GroupRequest.java,src/org/jgroups/blocks/RspCollector.java,3
src/org/jgroups/blocks/GroupRequest.java,src/org/jgroups/blocks/UnicastRequest.java,3
src/org/jgroups/blocks/GroupRequest.java,tests/junit-functional/org/jgroups/blocks/GroupRequestTest.java,4
src/org/jgroups/blocks/MessageDispatcher.java,src/org/jgroups/blocks/Request.java,3
src/org/jgroups/blocks/MessageDispatcher.java,src/org/jgroups/blocks/RequestCorrelator.java,5
src/org/jgroups/blocks/MessageDispatcher.java,src/org/jgroups/blocks/RpcDispatcher.java,6
src/org/jgroups/blocks/MessageDispatcher.java,src/org/jgroups/blocks/RspCollector.java,3
src/org/jgroups/blocks/MessageDispatcher.java,src/org/jgroups/blocks/UnicastRequest.java,4
src/org/jgroups/blocks/Request.java,src/org/jgroups/blocks/RequestCorrelator.java,3
src/org/jgroups/blocks/Request.java,src/org/jgroups/blocks/RspCollector.java,3
src/org/jgroups/blocks/Request.java,src/org/jgroups/blocks/UnicastRequest.java,3
src/org/jgroups/blocks/RequestCorrelator.java,src/org/jgroups/blocks/RspCollector.java,3
src/org/jgroups/blocks/RequestCorrelator.java,src/org/jgroups/blocks/UnicastRequest.java,3
src/org/jgroups/blocks/RspCollector.java,src/org/jgroups/blocks/UnicastRequest.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/BPING.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/BasicTCP.java,5
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/FD_SOCK.java,4
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/MPING.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/TCP.java,9
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/TP.java,9
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/protocols/UDP.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/stack/GossipRouter.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,src/org/jgroups/util/Util.java,6
src/org/jgroups/blocks/TCPConnectionMap.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,5
src/org/jgroups/blocks/TCPConnectionMap.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,6
src/org/jgroups/blocks/TCPConnectionMap.java,tests/junit-functional/org/jgroups/tests/LargeMergeTest.java,3
