"FileName","ChangeChurn"
"war.src.main.webapp.css.layout-common_css","155"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassEvents_java","154"
"test.src.test.java.jenkins.telemetry.MissingClassTelemetryTest_java","152"
"core.src.main.java.jenkins.model.DownloadSettings_java","151"
"core.src.main.resources.lib.layout.layout_jelly","150"
"war.src.main.js.util.jenkins_js","149"
"test.src.test.java.jenkins.model.GlobalBuildDiscarderTest_java","149"
"core.src.main.java.hudson.FilePath_java","145"
"core.src.main.java.hudson.model.ManagementLink_java","144"
"war.src.main.webapp.css.icomoon.fonts.icomoon_svg","142"
"test.src.test.java.jenkins.model.JenkinsTest_java","141"
"test.src.test.java.hudson.security.csrf.CrumbExclusionTest_java","141"
"core.src.main.java.hudson.model.Queue_java","139"
"core.src.main.java.hudson.model.TimeZoneProperty_java","139"
"core.src.main.java.jenkins.security.ExceptionTranslationFilter_java","138"
"test.src.test.java.hudson.model.QueueTest_java","137"
"core.src.main.java.hudson.security.ACL_java","133"
"war.src.test.js.widgets.config.tabbar_spec_js","133"
"core.src.main.java.hudson.util.FormFieldValidator_java","132"
"core.src.main.java.hudson.model.Items_java","129"
"_github.workflows.changelog_yml","127"
"core.src.main.java.jenkins.util.io.CompositeIOException_java","127"
"war.src.main.less.abstracts.colors_less","126"
"war.src.test.js.widgets.config.scrollspy_spec_js","126"
"core.src.main.java.hudson.model.View_java","125"
"test.src.test.java.jenkins.triggers.TriggerTest_java","125"
"core.src.main.java.hudson.UDPBroadcastThread_java","125"
"core.src.main.java.hudson.model.AbstractProject_java","124"
"test.src.test.java.hudson.model.AbstractProjectSEC1781Test_java","122"
"test.src.test.java.jenkins.security.seed.UserSeedSecurityListenerTest_java","122"
"test.src.test.java.hudson.model.FileParameterValueTest_java","120"
"core.src.main.java.jenkins.websocket.WebSockets_java","119"
"war.src.main.less.base.visibility-utils_less","117"
"test.src.test.java.hudson.security.TokenBasedRememberMeServices2Test_java","116"
"test.src.test.java.hudson.ExtensionListTest_java","115"
"test.src.test.java.hudson.model.ApiSEC1704Test_java","115"
"test.src.test.java.jenkins.security.stapler.Security400Test_java","112"
"core.src.main.java.hudson.ExtensionFinder_java","111"
"core.src.main.resources.jenkins.model.Jenkins.manage_jelly","111"
"test.src.test.java.hudson.security.csrf.DefaultCrumbIssuerSEC626Test_java","111"
"core.src.main.java.hudson.Launcher_java","109"
"war.gulpfile_js","109"
"core.src.main.resources.lib.layout.pageHeader_jelly","109"
"test.src.test.java.hudson.model.ViewDescriptorTest_java","108"
"core.src.test.java.hudson.slaves.NodeListTest_java","108"
"war.src.test.js.widgets.config.scrollspy-spec_js","108"
"core.src.main.java.jenkins.slaves.JnlpSlaveAgentProtocol_java","107"
"test.src.test.java.jenkins.model.JenkinsSystemReadAndManagePermissionTest_java","106"
"core.src.main.java.hudson.model.DownloadService_java","104"
"test.src.test.java.jenkins.security.SuspiciousRequestFilterTest_java","104"
"core.src.main.java.jenkins.slaves.JnlpSlaveAgentProtocol3_java","101"
"war.src.main.less.base.typography_less","101"
"core.src.main.java.hudson.model.Slave_java","100"
"war.src.test.js.widgets.config.tabbar-spec_js","99"
"core.src.main.java.jenkins.DailyCheck_java","99"
"core.src.main.java.hudson.model.Fingerprint_java","98"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassEvent_java","98"
"core.src.main.java.hudson.tasks.LogRotator_java","97"
"core.src.main.java.hudson.util.DOSToUnixPathHelper_java","96"
"core.src.main.java.jenkins.model.IdStrategy_java","96"
"war.src.main.js.widgets.config.tabbar_js","94"
"war.src.main.less.ui-refresh-overrides_less","94"
"test.src.test.resources.jenkins.AgentProtocolSecurity1682Test.testShouldReallyEnable3.config_xml","94"
"core.src.main.java.jenkins.slaves.DeprecatedAgentProtocolMonitor_java","94"
"core.src.main.resources.hudson.PluginManager._table_css","93"
"test.src.test.java.hudson.security.SecurityRealmTest_java","90"
"test.src.test.java.hudson.model.ItemGroupMixInTest_java","90"
"core.src.main.java.jenkins.security.ResourceDomainFilter_java","90"
"core.src.main.java.hudson.security.HudsonPrivateSecurityRealm_java","88"
"test.src.test.java.hudson.tasks.ArtifactArchiverTest_java","88"
"core.src.main.java.jenkins.security.ResourceDomainRecommendation_java","85"
"core.src.main.resources.jenkins.model.Jenkins.oops_jelly","84"
"core.src.main.java.hudson.security.csrf.DefaultCrumbIssuer_java","83"
"core.src.main.java.hudson.ProxyConfiguration_java","83"
"test.src.test.java.hudson.ExtensionFinderTest_java","83"
"war.src.main.js.util.page_js","83"
"war.src.main.less.modules.page-footer_less","83"
"CONTRIBUTING_md","82"
"core.src.main.resources.hudson.atom_jelly","81"
"core.src.main.java.jenkins.model.GlobalBuildDiscarderStrategy_java","81"
"test.src.test.java.lib.form.EnumTest_java","81"
"core.src.main.java.jenkins.model.GlobalBuildDiscarderConfiguration_java","80"
"core.src.main.resources.hudson.security.WhoAmI.index_jelly","80"
"core.src.main.java.jenkins.model.BackgroundGlobalBuildDiscarder_java","80"
"core.src.main.java.hudson.slaves.JNLPLauncher_java","78"
"core.src.main.java.jenkins.model.SimpleGlobalBuildDiscarderStrategy_java","78"
"test.src.test.java.hudson.model.UpdateSiteTest_java","78"
"test.src.test.resources.hudson.security.ACLTest.EitherPermission.index_jelly","78"
"test.src.test.java.hudson.model.queue.MaintainCanTakeStrengtheningTest_java","77"
"core.src.main.java.hudson.util.Memoizer_java","77"
"core.src.main.java.hudson.model.Descriptor_java","76"
"core.src.main.resources.lib.layout.breadcrumbBar_jelly","76"
"war.package_json","75"
"core.src.main.java.hudson.model.AbstractItem_java","75"
"core.src.main.java.jenkins.security.ConfidentialStore_java","75"
"core.src.main.java.hudson.tasks.Fingerprinter_java","75"
"core.src.main.java.jenkins.slaves.JnlpSlaveAgentProtocol2_java","73"
"test.src.test.java.hudson.PluginManagerTest_java","72"
"core.src.main.java.hudson.util.FormValidation_java","72"
"core.src.test.java.hudson.model.QueueTest_java","72"
"core.src.main.java.hudson.model.DirectoryBrowserSupport_java","70"
"core.src.main.java.hudson.model.RSS_java","70"
"core.src.main.java.hudson.cli.CLICommand_java","70"
"core.src.test.java.hudson.model.AbstractItemTest_java","70"
"test.src.test.java.hudson.diagnosis.TooManyJobsButNoViewTest_java","70"
"core.src.main.java.hudson.model.Label_java","69"
"cli.src.test.java.hudson.cli.HexDumpTest_java","69"
"core.src.main.java.jenkins.model.JobGlobalBuildDiscarderStrategy_java","69"
"core.src.main.java.hudson.cli.InstallPluginCommand_java","69"
"core.src.main.resources.jenkins.management.AdministrativeMonitorsDecorator.resources_css","68"
"test.src.test.java.hudson.model.QueueSEC1537Test_java","68"
"core.src.main.resources.hudson.PluginManager.sites_jelly","68"
"test.src.test.java.hudson.init.InitMilestoneTest_java","68"
"core.src.main.java.jenkins.websocket.WebSocketEcho_java","67"
"core.src.main.java.hudson.model.Job_java","66"
"test.src.test.java.hudson.util.FormValidationTest_java","66"
"core.src.main.java.hudson.console.HudsonExceptionNote_java","66"
"core.src.test.java.jenkins.widgets.HistoryPageFilterTest_java","66"
"war.src.main.less.base.yui-compatibility_less","66"
"core.src.main.java.hudson.slaves.NodeProvisioner_java","65"
"core.src.main.java.hudson.security.csrf.CrumbFilter_java","65"
"core.src.main.resources.jenkins.model.Jenkins.systemInfo_jelly","65"
"test.src.test.java.hudson.security.csrf.DefaultCrumbIssuerSEC1704Test_java","65"
"test.src.test.java.jenkins.model.JenkinsSystemReadPermissionTest_java","65"
"core.src.main.resources.windows-service.jenkins-slave_xml","65"
"core.src.main.resources.jenkins.model.Jenkins.manag__groovy","65"
"core.src.test.java.hudson.model.FingerprintCleanupThreadTest_java","64"
"core.src.main.java.jenkins.util.io.PathRemover_java","64"
"test.src.test.java.hudson.util.ProcessTreeKillerTest_java","64"
"core.src.main.resources.jenkins.model.GlobalCloudConfiguration.index_groovy","64"
"core.src.main.resources.jenkins.install.SetupWizard.authenticate-security-token_zh_CN_properties","64"
"core.src.main.java.jenkins.model.JenkinsLocationConfiguration_java","63"
"core.src.main.java.jenkins.util.SystemProperties_java","63"
"core.src.main.java.hudson.security.GlobalSecurityConfiguration_java","62"
"core.src.test.java.hudson.slaves.ComputerLauncherTest_java","62"
"core.src.main.java.jenkins.agents.AgentComputerUtil_java","62"
"Jenkinsfile","61"
"core.src.main.java.hudson.model.ItemGroup_java","61"
"core.src.main.resources.hudson.rss20_jelly","61"
"core.src.main.java.hudson.TcpSlaveAgentListener_java","60"
"core.src.main.java.hudson.util.SecretRewriter_java","60"
"core.src.main.java.hudson.slaves.SlaveComputerUtil_java","60"
"test.src.test.java.hudson.model.ParametersAction2Test_java","59"
"core.src.main.java.hudson.model.FileParameterValue_java","59"
"core.src.main.resources.hudson.lifecycle.WindowsInstallerLink._restart_jelly","59"
"test.src.test.java.hudson.util.LogTaskListenerTest_java","59"
"test.src.test.java.jenkins.TestJnlpSlaveAgentProtocol2_java","59"
"test.src.test.java.jenkins.TestJnlpSlaveAgentProtocol3_java","59"
"test.src.test.java.hudson.UDPBroadcastThreadSEC1641Test_java","58"
"core.src.main.java.hudson.UDPBroadcastFragment_java","58"
"test.src.test.java.jenkins.model.AssetManagerTest_java","58"
"test.src.test.java.lib.form.ExpandableTextboxSEC1498Test_java","58"
"test.src.test.java.jenkins.TestJnlpSlaveAgentProtocol_java","58"
"test.src.test.java.benchmarks.BenchmarkTest_java","57"
"core.src.main.resources.hudson.model.AbstractProject.help-concurrentBuild_fr_html","57"
"test.src.test.java.hudson.bugs.LoginRedirectTest_java","57"
"core.src.main.java.hudson.security.SecurityRealm_java","56"
"war.src.main.js.widgets.add.addform_less","56"
"core.src.main.resources.jenkins.install.SetupWizard.setupWizardConfigureInstance_zh_CN_properties","56"
"core.src.main.java.jenkins.model.GlobalCloudConfiguration_java","56"
"core.src.main.resources.hudson.model.DirectoryBrowserSupport.plaindir_jelly","56"
"core.src.main.java.hudson.model.ListView_java","55"
"core.src.main.resources.lib.form.password.password_css","55"
"core.src.main.java.hudson.util.Protector_java","55"
"war.src.main.js.widgets.config.model.ConfigTableMetaData_js","54"
"test.src.test.java.jenkins.util.AntClassLoaderTest_java","54"
"test.src.test.java.hudson.model.TimeZonePropertyTest_java","53"
"core.src.main.java.hudson.model.Executor_java","52"
"test.src.test.java.hudson.model.ItemsTest_java","52"
"core.src.test.java.hudson.model.EnvironmentContributingActionTest_java","52"
"core.src.main.resources.hudson.PluginManager.checkUpdates_jelly","52"
"core.src.main.resources.jenkins.install.UpgradeWizard.client-scripts_zh_CN_properties","52"
"core.src.main.resources.hudson.model.AllView.noJob_jelly","52"
"core.src.main.java.hudson.util.StringConverter2_java","52"
"core.src.main.java.hudson.DescriptorExtensionList_java","51"
"core.src.main.java.hudson.node_monitors.AbstractAsyncNodeMonitorDescriptor_java","51"
"core.src.main.java.jenkins.model.GlobalBuildDiscarderListener_java","51"
"core.src.main.resources.hudson.model.UpdateCenter.PageDecoratorImpl.footer_jelly","51"
"core.src.main.java.jenkins.telemetry.impl.java11.CatcherClassLoader_java","51"
"core.src.main.resources.jenkins.security.ResourceDomainConfiguration.help-url_html","51"
"core.src.main.resources.hudson.security.GlobalSecurityConfiguration.index_groovy","50"
"core.src.main.java.hudson.model.ComputerSet_java","50"
"core.src.main.resources.lib.layout.view_jelly","50"
"core.src.main.resources.jenkins.install.Messages_zh_CN_properties","50"
"test.src.test.java.lib.form.ComboBoxSEC1525Test_java","50"
"core.src.main.java.jenkins.slaves.DefaultJnlpSlaveReceiver_java","49"
"test.src.test.java.jenkins.telemetry.TelemetryTest_java","49"
"war.src.main.js.widgets.config.tabbar_less","49"
"cli.src.test.java.hudson.cli.PrivateKeyProviderTest_java","49"
"core.src.main.resources.lib.layout.svgIcon_jelly","49"
"core.src.main.resources.hudson.diagnosis.ReverseProxySetupMonitor.resources_js","49"
"core.src.main.java.hudson.security.TokenBasedRememberMeServices2_java","48"
"core.src.main.java.hudson.model.AdministrativeMonitor_java","48"
"core.src.main.resources.jenkins.install.SetupWizard.setupWizardFirstUser_zh_CN_properties","48"
"core.src.main.resources.jenkins.install.SetupWizard.proxy-configuration_zh_CN_properties","48"
"core.src.main.resources.jenkins.security.ResourceDomainRecommendation.message_groovy","48"
"core.src.main.java.jenkins.telemetry.Telemetry_java","47"
"core.src.main.java.hudson.model.AbstractCIBase_java","47"
"war.src.test.js.widgets.config.mocks_js","47"
"core.src.main.java.hudson.tools.DownloadFromUrlInstaller_java","47"
"core.src.main.java.hudson.scm.SCMDescriptor_java","47"
"core.src.main.java.hudson.model.AsyncPeriodicWork_java","47"
"test.src.test.resources.plugins.alternative-update-center_json","47"
"test.src.test.resources.jenkins.AgentProtocolTest.config_xml","47"
