"FileName","TargetChurn"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassTelemetry_java","15"
"core.src.main.java.hudson.model.LoadBalancer_java","14"
"core.src.main.java.hudson.model.PermalinkProjectAction_java","14"
"core.src.main.java.hudson.node_monitors.AbstractAsyncNodeMonitorDescriptor_java","14"
"core.src.main.java.hudson.model.AbstractItem_java","13"
"core.src.main.java.hudson.model.ParameterDefinition_java","13"
"core.src.main.java.jenkins.install.SetupWizard_java","12"
"core.src.main.resources.hudson.model.Job.rssHeader_jelly","12"
"core.src.main.java.hudson.LocalPluginManager_java","12"
"cli.src.main.java.hudson.cli.CLI_java","12"
"test.src.test.java.jenkins.security.RedactSecretJsonInErrorMessageSanitizerHtmlTest_java","12"
"core.src.main.resources.hudson.tasks.Fingerprinter.config_jelly","11"
"core.src.main.java.jenkins.slaves.DefaultJnlpSlaveReceiver_java","10"
"core.src.main.resources.lib.layout.view_jelly","10"
"core.src.main.java.hudson.model.ComputerSet_java","10"
"core.src.main.java.hudson.slaves.ComputerListener_java","10"
"core.src.main.java.jenkins.model.AssetManager_java","10"
"test.src.test.java.hudson.node_monitors.DiskSpaceMonitorDescriptorTest_java","10"
"core.src.test.java.jenkins.util.xstream.XStreamDOMTest_java","9"
"core.src.test.java.hudson.model.ChoiceParameterDefinitionTest_java","9"
"core.src.main.resources.hudson.model.View.sidepanel_jelly","8"
"core.src.main.java.hudson.model.MyViewsProperty_java","8"
"core.src.main.resources.jenkins.model.Jenkins._scriptText_jelly","8"
"test.src.test.resources.jenkins.model.GlobalBuildDiscarderTest.testLoading.jenkins_model_GlobalBuildDiscarderConfiguration_xml","8"
"core.src.main.java.jenkins.tools.GlobalToolConfiguration_java","8"
"core.src.main.java.jenkins.model.GlobalBuildDiscarderConfiguration_java","8"
"core.src.main.java.hudson.security.GlobalSecurityConfiguration_java","8"
"core.src.main.resources.lib.form.descriptorRadioList_jelly","8"
"core.src.main.resources.jenkins.model.GlobalCloudConfiguration.index_groovy","8"
"core.src.main.java.hudson.scm.SCMDescriptor_java","8"
"test.src.test.java.hudson.markup.MarkupFormatterTest_java","8"
"core.src.main.resources.hudson.PluginWrapper.PluginWrapperAdministrativeMonitor.message_jelly","8"
"core.src.main.resources.lib.layout.breadcrumbs_css","8"
"core.src.test.java.hudson.PluginWrapperTest_java","8"
"core.src.main.java.hudson.FilePath_java","8"
"war.src.main.less.base.typography_less","7"
"core.src.main.java.hudson.util.jna.Kernel32Utils_java","6"
"test.src.test.java.hudson.model.UsageStatisticsTest_java","6"
"core.src.main.java.hudson.model.labels.LabelAtom_java","6"
"core.src.main.java.jenkins.security.UpdateSiteWarningsMonitor_java","6"
"core.src.main.java.hudson.init.impl.GroovyInitScript_java","6"
"core.src.main.java.hudson.model.TreeView_java","6"
"core.src.main.java.hudson.logging.LogRecorder_java","6"
"test.src.test.java.hudson.model.AbstractProjectTest_java","6"
"core.src.main.java.hudson.Proc_java","6"
"core.src.main.java.hudson.model.AbstractProject_java","6"
"core.src.main.java.hudson.model.ViewGroupMixIn_java","6"
"war.src.main.webapp.css.responsive-grid_css","6"
"core.src.main.java.hudson.Functions_java","6"
"core.src.main.java.hudson.model.FingerprintCleanupThread_java","6"
"core.src.main.java.hudson.tasks.ArtifactArchiver_java","6"
"core.src.main.resources.hudson.PluginWrapper.PluginWrapperAdministrativeMonitor.message_properties","6"
"core.src.main.java.hudson.model.AbstractBuild_java","5"
"core.src.main.resources.hudson.tasks.Fingerprinter.help-excludes_html","5"
"core.src.main.java.hudson.model.WorkspaceCleanupThread_java","5"
"core.src.main.resources.hudson.tasks.Fingerprinter.help-caseSensitive_html","5"
"core.src.main.java.hudson.model.DirectoryBrowserSupport_java","5"
"cli.pom_xml","5"
"core.src.main.java.jenkins.model.PeepholePermalink_java","5"
"war.src.main.less.ui-refresh-overrides_less","5"
"core.src.main.java.hudson.node_monitors.DiskSpaceMonitorDescriptor_java","5"
"core.src.main.java.jenkins.plugins.DetachedPluginsUtil_java","4"
"war.src.main.webapp.scripts.yui.button.button-min_js","4"
"core.src.main.java.hudson.slaves.ComputerLauncher_java","4"
"core.src.main.resources.hudson.model.Job.configure_jelly","4"
"core.src.main.java.hudson.util.DOSToUnixPathHelper_java","4"
"core.src.main.java.hudson.util.AtomicFileWriter_java","4"
"core.src.main.java.hudson.ProxyConfiguration_java","4"
"core.src.main.resources.hudson.triggers.SlowTriggerAdminMonitor.message_groovy","4"
"core.src.main.resources.hudson.ProxyConfiguration.config_groovy","4"
"core.src.main.resources.hudson.model.AllView.noJob_properties","4"
"war.src.main.less.pluginSetupWizard_less","4"
"core.src.main.java.hudson.markup.EscapedMarkupFormatter_java","4"
"core.src.main.java.jenkins.InitReactorRunner_java","4"
"core.src.main.resources.jenkins.management.AdministrativeMonitorsDecorator.resources_css","4"
"core.src.main.resources.hudson.PluginWrapper.PluginWrapperAdministrativeMonitor.message_bg_properties","4"
"core.src.main.java.hudson.slaves.WorkspaceList_java","4"
"test.src.test.resources.jenkins.install.LoadDetachedPluginsTest.upgradeFromJenkins2WithOlderDependency.jenkins_install_InstallUtil_lastExecVersion","3"
"test.src.test.resources.jenkins.install.LoadDetachedPluginsTest.upgradeFromJenkins2WithNewerDependency.jenkins_install_InstallUtil_lastExecVersion","3"
"test.src.test.resources.jenkins.install.LoadDetachedPluginsTest.upgradeFromJenkins2WithNewerPlugin.jenkins_install_InstallUtil_lastExecVersion","3"
"core.src.main.java.jenkins.telemetry.impl.UserLanguages_java","3"
"war.src.main.webapp.css.layout-common_css","3"
"core.src.main.java.hudson.model.ItemGroupMixIn_java","3"
"core.src.main.resources.hudson.model.Job.buildTimeTrend_jelly","3"
"core.src.main.resources.jenkins.model.CoreEnvironmentContributor.buildEnv_properties","3"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_lt_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_it_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_pt_BR_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_da_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_bg_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_hu_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_ja_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_et_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_cs_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_es_properties","2"
"core.src.main.resources.hudson.model.AbstractItem._api_jelly","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_lv_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_fi_properties","2"
"core.src.main.resources.lib.layout.task_jelly","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_sl_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_zh_TW_properties","2"
"core.src.main.resources.hudson.PluginWrapper.PluginWrapperAdministrativeMonitor.message_it_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_nb_NO_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_de_properties","2"
"war.src.main.webapp.scripts.loading_js","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_sk_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_uk_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_fr_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_pt_PT_properties","2"
"core.src.main.resources.hudson.PluginWrapper.PluginWrapperAdministrativeMonitor.message_pl_properties","2"
"core.src.main.resources.hudson.model.View.configure_jelly","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_ko_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_ru_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_nl_properties","2"
"core.src.main.resources.hudson.model.UpdateCenter.CoreUpdateMonitor.message_pl_properties","2"
"core.src.main.resources.hudson.PluginWrapper.PluginWrapperAdministrativeMonitor.message_de_properties","2"
"core.src.main.resources.jenkins.slaves.systemInfo.EnvVarsSlaveInfo.systemInfo_jelly","2"
"core.src.main.resources.lib.hudson.executors_jelly","2"
"test-pom.pom_xml","2"
"core.src.main.java.hudson.model.ParametersDefinitionProperty_java","1"
"core.src.main.resources.jenkins.management.AdministrativeMonitorsDecorator.footer_jelly","1"
"core.src.test.java.hudson.UtilTest_java","1"
"core.src.main.resources.jenkins.management.AdministrativeMonitorsDecorator.footer_properties","1"
"core.src.main.resources.jenkins.management.AdministrativeMonitorsDecorator.footer_de_properties","1"
"core.src.main.resources.hudson.PluginManager._table_css","1"
"core.src.main.resources.hudson.node_monitors.Messages_properties","1"
