RootIndex,LeadingFile,Size,Coverage,CoverUpto
root 1, core.src.main.java.org.apache.calcite.rel.core.TableScan_java, 66, 0.015152, 0.500000 
root 2, core.src.main.java.org.apache.calcite.plan.RelTraitDef_java, 35, 0.028571, 1.000000 
