IssueType,Issue Size,#Changes,Tot Loc changed
ModularityViolation1,12.0,175.0,5061.0
ModularityViolation2,9.0,158.0,5805.0
ModularityViolation3,8.0,58.0,592.0
ModularityViolation4,5.0,71.0,2521.0
ModularityViolation5,5.0,108.0,3081.0
ModularityViolation6,4.0,32.0,757.0
ModularityViolation7,3.0,24.0,922.0
ModularityViolation8,3.0,66.0,2299.0
ModularityViolation9,2.0,31.0,943.0
ModularityViolation10,2.0,11.0,206.0

ModularityViolation-All,33.0,450.0,13409.0
