IssueType,Issue Size,#Changes,Tot Loc changed
Clique1,54.0,300.0,7842.0
Clique2,6.0,51.0,1021.0
Clique3,4.0,0.0,0.0
Clique4,3.0,5.0,327.0
Clique5,2.0,9.0,86.0
Clique6,2.0,87.0,3464.0
Clique7,2.0,1.0,30.0
Clique8,2.0,0.0,0.0

Clique-All,75.0,453.0,12770.0
