"FileName","ChangeChurn"
"apidocs.net.openhft.chronicle.queue.impl.WireStoreSupplier_html","284"
"apidocs.net.openhft.chronicle.queue.package-summary_html","280"
"apidocs.net.openhft.chronicle.queue.JDBCResult_html","280"
"apidocs.net.openhft.chronicle.queue.impl.table.class-use.Metadata_html","278"
"apidocs.net.openhft.chronicle.queue.impl.single.WriteLock_html","277"
"apidocs.net.openhft.chronicle.queue.class-use.TailerDirection_html","275"
"src.test.java.net.openhft.chronicle.queue.reader.ChronicleMethodReaderTest_java","273"
"apidocs.net.openhft.chronicle.queue.BenchmarkMain_html","273"
"apidocs.net.openhft.chronicle.queue.jitter.QueuePingPongMain_html","273"
"apidocs.net.openhft.chronicle.queue.QueueUnlockMain_html","273"
"apidocs.net.openhft.chronicle.queue.ExcerptCommon_html","272"
"src.main.java.net.openhft.chronicle.queue.ChronicleQueue_java","269"
"apidocs.constant-values_html","268"
"apidocs.net.openhft.chronicle.queue.batch.BatchAppender_html","267"
"apidocs.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueExcerpts_html","266"
"apidocs.net.openhft.chronicle.queue.impl.single.QueueLock_html","265"
"apidocs.net.openhft.chronicle.queue.impl.single.package-summary_html","264"
"src.test.java.net.openhft.chronicle.queue.PeekDocumentTest_java","257"
"apidocs.net.openhft.chronicle.queue.impl.class-use.ExcerptContext_html","255"
"apidocs.net.openhft.chronicle.queue.impl.ExcerptContext_html","255"
"benchmarks.src.main.java.net.openhft.chronicle.queue.benchmark.ThroughputMain_java","252"
"apidocs.net.openhft.chronicle.queue.service.ServiceWrapper_html","252"
"src.main.java.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueBuilder_java","251"
"apidocs.net.openhft.chronicle.queue.reader.ChronicleReaderPlugin_html","249"
"apidocs.net.openhft.chronicle.queue.impl.class-use.CommonStore_html","248"
"apidocs.net.openhft.chronicle.queue.impl.StoreFileListener_html","245"
"apidocs.net.openhft.chronicle.queue.impl.package-use_html","245"
"apidocs.net.openhft.chronicle.queue.JDBCStatement_html","244"
"apidocs.net.openhft.chronicle.queue.impl.single.ReferenceCountedCache_html","244"
"apidocs.net.openhft.chronicle.queue.reader.QueueEntryHandler_html","243"
"apidocs.net.openhft.chronicle.queue.reader.class-use.ChronicleReader_html","242"
"src.test.java.net.openhft.chronicle.queue.impl.RollingChronicleQueueTest_java","240"
"apidocs.net.openhft.chronicle.queue.class-use.BufferMode_html","240"
"src.test.java.net.openhft.chronicle.queue.util.FileUtilTest_java","237"
"apidocs.net.openhft.chronicle.queue.CycleCalculator_html","236"
"apidocs.net.openhft.chronicle.queue.impl.StoreReleasable_html","235"
"apidocs.net.openhft.chronicle.queue.impl.single.package-use_html","233"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SingleChronicleQueue_html","231"
"apidocs.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueExcerpts_InternalAppender_html","230"
"apidocs.net.openhft.chronicle.queue.reader.class-use.ChronicleHistoryReader_html","230"
"apidocs.net.openhft.chronicle.queue.impl.package-tree_html","228"
"apidocs.net.openhft.chronicle.queue.impl.class-use.WireStore_html","224"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.ScanResult_html","219"
"apidocs.net.openhft.chronicle.queue.class-use.ExcerptAppender_html","219"
"apidocs.net.openhft.chronicle.queue.package-tree_html","215"
"apidocs.net.openhft.chronicle.queue.class-use.ExcerptCommon_html","214"
"src.test.java.net.openhft.chronicle.queue.impl.single.TestMethodWriterWithThreads_java","210"
"LICENSE","209"
"apidocs.net.openhft.chronicle.queue.service.class-use.ServiceWrapperBuilder_html","208"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.QueueLock_html","207"
"apidocs.net.openhft.chronicle.queue.impl.table.package-use_html","206"
"apidocs.net.openhft.chronicle.queue.impl.class-use.StoreFileListener_html","206"
"load-harness.pom_xml","205"
"src.main.java.net.openhft.chronicle.queue.reader.ChronicleReader_java","204"
"apidocs.net.openhft.chronicle.queue.class-use.TailerState_html","203"
"apidocs.net.openhft.chronicle.queue.impl.class-use.StoreReleasable_html","201"
"apidocs.net.openhft.chronicle.queue.class-use.QueueOffsetSpec_html","201"
"apidocs.net.openhft.chronicle.queue.impl.WireStoreFactory_html","200"
"apidocs.net.openhft.chronicle.queue.impl.package-summary_html","199"
"src.test.java.net.openhft.chronicle.queue.impl.single.PretoucherTest_java","196"
"apidocs.net.openhft.chronicle.queue.impl.table.class-use.SingleTableBuilder_html","195"
"apidocs.net.openhft.chronicle.queue.batch.class-use.BatchAppender_html","195"
"apidocs.net.openhft.chronicle.queue.reader.package-use_html","192"
"apidocs.net.openhft.chronicle.queue.impl.single.package-tree_html","191"
"apidocs.net.openhft.chronicle.queue.reader.class-use.QueueEntryHandler_html","189"
"apidocs.net.openhft.chronicle.queue.class-use.CycleCalculator_html","188"
"apidocs.net.openhft.chronicle.queue.class-use.RollCycles_html","188"
"apidocs.net.openhft.chronicle.queue.impl.table.package-summary_html","186"
"apidocs.net.openhft.chronicle.queue.batch.package-use_html","182"
"apidocs.net.openhft.chronicle.queue.backed.map.class-use.QueueEvents_html","182"
"apidocs.net.openhft.chronicle.queue.util.class-use.FileState_html","181"
"apidocs.net.openhft.chronicle.queue.reader.package-summary_html","181"
"apidocs.net.openhft.chronicle.queue.impl.table.package-tree_html","180"
"apidocs.net.openhft.chronicle.queue.service.class-use.ServiceWrapper_html","179"
"apidocs.net.openhft.chronicle.queue.class-use.JDBCStatement_html","179"
"src.main.java.net.openhft.chronicle.queue.util.FileUtil_java","178"
"apidocs.net.openhft.chronicle.queue.class-use.JDBCResult_html","178"
"src.test.java.net.openhft.chronicle.queue.cleanup.CleanupUnusedQueueFilesTest_java","177"
"apidocs.net.openhft.chronicle.queue.class-use.QueueOffsetSpec_Type_html","175"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.PrecreatedFiles_html","175"
"apidocs.net.openhft.chronicle.queue.class-use.DefaultCycleCalculator_html","175"
"apidocs.net.openhft.chronicle.queue.impl.table.class-use.Metadata_NoMeta_html","175"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.BinarySearch_html","175"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.QueueFileShrinkManager_html","175"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.StoreComponentReferenceHandler_html","175"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.MetaDataKeys_html","175"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.MetaDataField_html","175"
"apidocs.net.openhft.chronicle.queue.class-use.NoMessageHistory_html","175"
"apidocs.net.openhft.chronicle.queue.impl.table.class-use.AbstractTSQueueLock_html","172"
"src.main.java.net.openhft.chronicle.queue.ExcerptTailer_java","171"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.WriteLock_html","170"
"src.test.java.net.openhft.chronicle.queue.impl.single.PretoucherStateTest_java","168"
"apidocs.net.openhft.chronicle.queue.impl.class-use.RollingResourcesCache_Resource_html","168"
"apidocs.net.openhft.chronicle.queue.impl.class-use.WireStorePool_html","167"
"apidocs.net.openhft.chronicle.queue.impl.class-use.WireStoreSupplier_html","167"
"src.test.java.net.openhft.chronicle.queue.ChronicleAppenderCycleTest_java","166"
"apidocs.net.openhft.chronicle.queue.reader.class-use.ChronicleReaderPlugin_html","166"
"apidocs.net.openhft.chronicle.queue.impl.class-use.RollingChronicleQueue_html","166"
"apidocs.net.openhft.chronicle.queue.impl.class-use.WireStoreFactory_html","166"
"apidocs.net.openhft.chronicle.queue.service.package-summary_html","163"
"apidocs.net.openhft.chronicle.queue.service.package-use_html","162"
"apidocs.net.openhft.chronicle.queue.util.package-summary_html","161"
"apidocs.net.openhft.chronicle.queue.backed.map.package-summary_html","161"
"apidocs.net.openhft.chronicle.queue.batch.package-summary_html","161"
"apidocs.net.openhft.chronicle.queue.util.package-use_html","159"
"apidocs.net.openhft.chronicle.queue.backed.map.package-use_html","159"
"apidocs.net.openhft.chronicle.queue.reader.package-tree_html","157"
"apidocs.net.openhft.chronicle.queue.service.package-tree_html","156"
"apidocs.net.openhft.chronicle.queue.util.package-tree_html","151"
"apidocs.allclasses-frame_html","148"
"apidocs.allclasses-noframe_html","148"
"apidocs.net.openhft.chronicle.queue.backed.map.package-tree_html","147"
"src.main.java.net.openhft.chronicle.queue.impl.table.SingleTableStore_java","145"
"apidocs.net.openhft.chronicle.queue.jitter.package-summary_html","144"
"apidocs.net.openhft.chronicle.queue.batch.package-tree_html","143"
"apidocs.net.openhft.chronicle.queue.jitter.package-tree_html","139"
"docs.FAQ_adoc","127"
"apidocs.net.openhft.chronicle.queue.impl.table.class-use.SingleTableStore_html","126"
"apidocs.net.openhft.chronicle.queue.reader.class-use.DummyMethodReaderQueueEntryHandler_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.DirectoryListing_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.ReadOnlyWriteLock_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SingleChronicleQueueExcerpts_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.NoopQueueLock_html","126"
"apidocs.net.openhft.chronicle.queue.impl.table.class-use.ReadonlyTableStore_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.TSQueueLock_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.BenchmarkMain_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.JDBCService_html","126"
"apidocs.net.openhft.chronicle.queue.reader.class-use.MessageToTextQueueEntryHandler_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SCQMeta_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.RollDetails_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.ChronicleHistoryReaderMain_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.PretouchHandler_html","126"
"apidocs.net.openhft.chronicle.queue.util.class-use.FileUtil_html","126"
"apidocs.net.openhft.chronicle.queue.reader.class-use.MethodReaderQueueEntryHandler_html","126"
"apidocs.net.openhft.chronicle.queue.backed.map.class-use.QueueBackedMaps_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.QueueUnlockMain_html","126"
"apidocs.net.openhft.chronicle.queue.impl.class-use.RollingResourcesCache_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.JDBCComponent_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SingleChronicleQueueStore_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.DumpQueueMain_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SingleChronicleQueueExcerpts_InternalAppender_html","126"
"apidocs.net.openhft.chronicle.queue.class-use.ChronicleReaderMain_html","126"
"apidocs.net.openhft.chronicle.queue.batch.class-use.BatchAppenderNative_html","126"
"apidocs.net.openhft.chronicle.queue.jitter.package-use_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SingleChronicleQueueExcerpts_StoreTailer_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.Pretoucher_html","126"
"apidocs.net.openhft.chronicle.queue.service.class-use.EventLoopServiceWrapper_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.TableStoreWriteLock_html","126"
"apidocs.net.openhft.chronicle.queue.jitter.class-use.QueuePingPongMain_html","126"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.ReferenceCountedCache_html","126"
