"FileName","ChangeFreq"
"src.org.jgroups.util.DefaultThreadFactory_java","4"
"tests.junit.org.jgroups.tests.SharedTransportTest_java","4"
"src.org.jgroups.protocols.STATS_java","4"
"tests.junit-functional.org.jgroups.tests.UtilTest_java","4"
"tests.junit-functional.org.jgroups.protocols.NAKACK2_RetransmitTest_java","4"
"tests.byteman.org.jgroups.tests.byteman.BecomeServerTest_java","4"
"tests.byteman.org.jgroups.tests.helpers.ForwardToCoordFailoverTestHelper_java","4"
"doc.ReleaseNotes-3_1_0_txt","4"
"tests.junit-functional.org.jgroups.protocols.NAKACK_REBROADCAST_Test_java","4"
"doc.design.SEQUENCER_txt","4"
"src.org.jgroups.protocols.MPING_java","4"
"src.org.jgroups.util.Table_java","4"
"doc.ReleaseNotes-3_2_0_txt","4"
"src.org.jgroups.protocols.MERGE3_java","4"
"src.org.jgroups.protocols.Executing_java","3"
"conf.testng.stack-independent_xml","3"
"src.org.jgroups.util.DefaultTimeScheduler_java","3"
"tests.junit-functional.org.jgroups.tests.LargeMergeTest_java","3"
"src.org.jgroups.util.AckCollector_java","3"
"conf.testng.testng-udp-flush_xml","3"
"tests.junit.org.jgroups.tests.JoinTest_java","3"
"src.org.jgroups.blocks.AbstractConnectionMap_java","3"
"tests.byteman.org.jgroups.tests.byteman.MessageBeforeConnectedTest_java","3"
"conf.testng.functional_xml","3"
"tests.junit-functional.org.jgroups.tests.MergeTest3_java","3"
"src.org.jgroups.util.CustomRejectionPolicy_java","3"
"src.org.jgroups.protocols.rules.Rule_java","3"
"src.org.jgroups.util.CountTests_java","3"
"src.org.jgroups.Channel_java","3"
"src.org.jgroups.protocols.rules.SUPERVISOR_java","3"
"src.org.jgroups.protocols.pbcast.STATE_SOCK_java","3"
"src.org.jgroups.protocols.pbcast.JoinRsp_java","3"
"src.org.jgroups.util.MyReceiver_java","3"
"conf.testng.testng-tcp_xml","3"
"src.org.jgroups.protocols.JDBC_PING_java","3"
"tests.perf.org.jgroups.tests.perf.MPerf_java","3"
"src.org.jgroups.protocols.MERGE2_java","3"
