IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnhealthyInheritance1,7.0,0.0,0.0,10.0,100.0
UnhealthyInheritance2,6.0,2.0,25.0,63.0,794.0
UnhealthyInheritance3,5.0,0.0,0.0,31.0,523.0
UnhealthyInheritance4,4.0,0.0,0.0,8.0,240.0
UnhealthyInheritance5,4.0,0.0,0.0,3.0,37.0
UnhealthyInheritance6,4.0,2.0,25.0,32.0,427.0
UnhealthyInheritance7,3.0,0.0,0.0,2.0,8.0
UnhealthyInheritance8,3.0,0.0,0.0,3.0,9.0

UnhealthyInheritance-All,30.0,2.0,25.0,99.0,1473.0
