IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
ModularityViolation1,2.0,0.0,0.0,61.0,1064.0

ModularityViolation-All,2.0,0.0,0.0,61.0,1064.0
