"FileName","TargetCommitFreq"
"pmd-dist.src.test.resources.rulesets.all-java_xml","1"
"pmd-dist.src.test.resources.sample-source.java.JumbledIncrementer_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTIdentifierCase_java","1"
"pmd-cs.src.main.antlr4.net.sourceforge.pmd.lang.cs.antlr4.CSharpLexer_g4","1"
"pmd-cs.src.test.java.net.sourceforge.pmd.cpd.CsTokenizerTest_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTTypeWhenBlock_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.TextRenderer_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTSwitchStatement_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.performance.StringToStringRule_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.ReportTest_java","1"
"pmd-swift.src.test.resources.net.sourceforge.pmd.cpd.Issue628_swift","1"
"pmd-dist.src.test.resources.sample-source.JumbledIncrementer_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTFieldDeclaration_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.CachedRuleMapper_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.HTMLRendererTest_java","1"
"docs.pages.pmd.rules.java.multithreading_md","1"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTEnumConstantTest_kt","1"
"pmd-java.src.test.resources.net.sourceforge.pmd.ast.FullTypeAnnotations_java","1"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.ASTSimpleExpression_java","1"
"pmd-dist.src.test.resources.sample-source.apex.TableGridController_cls","1"
"pmd-core.src.main.java.net.sourceforge.pmd.benchmark.Benchmarker_java","1"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.ASTStringLiteral_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.CachedRuleViolation_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.SourceCodeProcessor_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.AnalysisResult_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.VBHTMLRenderer_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.TextColorRenderer_java","1"
"pmd-core.src.test.resources.rulesets.dummy.oldbasic_xml","1"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.AbstractLanguageVersionHandler_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.Dimensionable_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.AbstractJavaHandler_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.PMDConfiguration_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleViolationTest_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.processor.PmdRunnable_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.cpd.token.internal.BaseTokenFilterTest_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.bestpractices.AbstractSunSecureRule_java","1"
"pmd-javascript.src.test.java.net.sourceforge.pmd.lang.ecmascript.ast.ASTForInLoopTest_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTLambdaExpression_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.PapariTextRendererTest_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ApexTreeBuilder_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.FileAnalysisCache_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.AbstractRendererTst_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTValueWhenBlock_java","1"
"pmd-core.src.test.java.net.sourceforge.pmd.AbstractRuleTest_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTVariableDeclarator_java","1"
