entity,coupled,cochanges
core/src/main/java/hudson/PluginManager.java,core/src/main/java/hudson/model/labels/LabelAtom.java,3
core/src/main/java/hudson/PluginManager.java,core/src/main/java/hudson/scm/SCM.java,3
core/src/main/java/hudson/PluginManager.java,core/src/main/java/jenkins/install/SetupWizard.java,4
core/src/main/java/hudson/PluginManager.java,core/src/main/java/jenkins/model/Jenkins.java,6
core/src/main/java/hudson/PluginManager.java,core/src/main/resources/hudson/PluginManager/installed.jelly,3
core/src/main/java/hudson/PluginManager.java,core/src/main/resources/hudson/PluginManager/table.jelly,3
core/src/main/java/hudson/PluginWrapper.java,core/src/main/java/hudson/model/UpdateCenter.java,4
core/src/main/java/hudson/PluginWrapper.java,core/src/main/java/hudson/model/UpdateSite.java,3
core/src/main/java/hudson/PluginWrapper.java,core/src/main/java/jenkins/plugins/DetachedPluginsUtil.java,3
core/src/main/java/hudson/PluginWrapper.java,core/src/main/resources/hudson/PluginManager/installed.jelly,5
core/src/main/java/hudson/TcpSlaveAgentListener.java,core/src/main/java/hudson/model/UpdateCenter.java,3
core/src/main/java/hudson/Util.java,core/src/main/java/hudson/model/UpdateCenter.java,3
core/src/main/java/hudson/Util.java,core/src/main/java/hudson/model/User.java,3
core/src/main/java/hudson/Util.java,core/src/main/java/hudson/scm/SCM.java,3
core/src/main/java/hudson/Util.java,core/src/main/java/jenkins/model/Jenkins.java,3
core/src/main/java/hudson/Util.java,core/src/main/java/jenkins/model/RunIdMigrator.java,4
core/src/main/java/hudson/Util.java,core/src/main/java/jenkins/util/AntClassLoader.java,3
core/src/main/java/hudson/Util.java,core/src/test/java/hudson/UtilTest.java,3
core/src/main/java/hudson/cli/Connection.java,core/src/main/java/hudson/console/ConsoleNote.java,3
core/src/main/java/hudson/console/AnnotatedLargeText.java,core/src/main/java/hudson/console/ConsoleNote.java,3
core/src/main/java/hudson/console/AnnotatedLargeText.java,core/src/main/java/hudson/security/BasicAuthenticationFilter.java,3
core/src/main/java/hudson/console/AnnotatedLargeText.java,core/src/main/java/hudson/security/HudsonAuthenticationEntryPoint.java,3
core/src/main/java/hudson/console/AnnotatedLargeText.java,core/src/main/java/hudson/util/DOSToUnixPathHelper.java,3
core/src/main/java/hudson/console/AnnotatedLargeText.java,core/src/main/java/hudson/util/FormFieldValidator.java,3
core/src/main/java/hudson/console/AnnotatedLargeText.java,core/src/main/java/jenkins/slaves/JnlpSlaveAgentProtocol4.java,3
core/src/main/java/hudson/console/ConsoleNote.java,core/src/main/java/hudson/security/BasicAuthenticationFilter.java,3
core/src/main/java/hudson/console/ConsoleNote.java,core/src/main/java/hudson/security/HudsonAuthenticationEntryPoint.java,3
core/src/main/java/hudson/console/ConsoleNote.java,core/src/main/java/hudson/util/DOSToUnixPathHelper.java,3
core/src/main/java/hudson/console/ConsoleNote.java,core/src/main/java/hudson/util/FormFieldValidator.java,3
core/src/main/java/hudson/console/ConsoleNote.java,core/src/main/java/jenkins/slaves/JnlpSlaveAgentProtocol4.java,3
core/src/main/java/hudson/diagnosis/OldDataMonitor.java,core/src/main/java/hudson/model/UpdateCenter.java,3
core/src/main/java/hudson/diagnosis/OldDataMonitor.java,core/src/main/java/jenkins/model/Jenkins.java,3
core/src/main/java/hudson/logging/LogRecorder.java,core/src/main/java/hudson/model/AbstractProject.java,3
core/src/main/java/hudson/model/AbstractItem.java,core/src/main/java/hudson/model/Items.java,3
core/src/main/java/hudson/model/AbstractItem.java,core/src/main/java/hudson/model/Node.java,3
core/src/main/java/hudson/model/AbstractItem.java,core/src/main/java/hudson/model/Queue.java,3
core/src/main/java/hudson/model/AbstractItem.java,core/src/main/java/hudson/security/csrf/DefaultCrumbIssuer.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/Computer.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/Job.java,5
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/ListView.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/MyViewsProperty.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/Run.java,4
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/User.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/View.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/hudson/model/labels/LabelAtom.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/jenkins/install/SetupWizard.java,3
core/src/main/java/hudson/model/AbstractProject.java,core/src/main/java/jenkins/model/Jenkins.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/Descriptor.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/Executor.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/Items.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/Job.java,6
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/ListView.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/MyViewsProperty.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/RSS.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/Run.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/TimeZoneProperty.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/UpdateSite.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/User.java,6
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/View.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/model/labels/LabelAtom.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/slaves/JNLPLauncher.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/slaves/NodeProvisioner.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/hudson/slaves/SlaveComputer.java,4
core/src/main/java/hudson/model/Computer.java,core/src/main/java/jenkins/install/SetupWizard.java,3
core/src/main/java/hudson/model/Computer.java,core/src/main/java/jenkins/model/Jenkins.java,5
core/src/main/java/hudson/model/Computer.java,core/src/main/java/jenkins/model/queue/ItemDeletion.java,3
core/src/main/java/hudson/model/ComputerSet.java,core/src/main/java/hudson/model/User.java,3
core/src/main/java/hudson/model/ComputerSet.java,core/src/main/java/jenkins/model/Jenkins.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/ItemGroup.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/Items.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/Job.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/ManagementLink.java,4
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/Run.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/TimeZoneProperty.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/model/UpdateSite.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/scm/SCM.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/security/ACL.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/hudson/slaves/JNLPLauncher.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/jenkins/install/SetupWizard.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/jenkins/model/GlobalProjectNamingStrategyConfiguration.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/jenkins/model/GlobalQuietPeriodConfiguration.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/jenkins/model/GlobalSCMRetryCountConfiguration.java,3
core/src/main/java/hudson/model/Descriptor.java,core/src/main/java/jenkins/model/Jenkins.java,7
core/src/main/java/hudson/model/Executor.java,core/src/main/java/hudson/model/Fingerprint.java,3
core/src/main/java/hudson/model/Executor.java,core/src/main/java/hudson/model/Run.java,3
core/src/main/java/hudson/model/Executor.java,core/src/main/java/hudson/model/UpdateCenter.java,3
core/src/main/java/hudson/model/Executor.java,core/src/main/java/jenkins/model/Jenkins.java,3
core/src/main/java/hudson/model/Fingerprint.java,core/src/main/java/hudson/model/Run.java,4
core/src/main/java/hudson/model/ItemGroup.java,core/src/main/java/hudson/model/Items.java,3
core/src/main/java/hudson/model/ItemGroup.java,core/src/main/java/hudson/security/ACL.java,3
core/src/main/java/hudson/model/ItemGroup.java,core/src/main/java/jenkins/model/Jenkins.java,4
core/src/main/java/hudson/model/Items.java,core/src/main/java/hudson/model/Job.java,3
core/src/main/java/hudson/model/Items.java,core/src/main/java/hudson/model/Node.java,3
core/src/main/java/hudson/model/Items.java,core/src/main/java/hudson/scm/SCM.java,3
core/src/main/java/hudson/model/Items.java,core/src/main/java/hudson/slaves/JNLPLauncher.java,4
core/src/main/java/hudson/model/Items.java,core/src/main/java/hudson/util/DescriptorList.java,3
core/src/main/java/hudson/model/Items.java,core/src/main/java/jenkins/model/Jenkins.java,4
core/src/main/java/hudson/model/Items.java,core/src/main/java/jenkins/telemetry/Telemetry.java,3
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/ListView.java,3
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/MyViewsProperty.java,3
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/PermalinkProjectAction.java,3
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/Run.java,5
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/User.java,5
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/View.java,5
core/src/main/java/hudson/model/Job.java,core/src/main/java/hudson/model/labels/LabelAtom.java,3
